Summary,Precip Type,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),month,year,day,hour
Foggy,1,-0.199306437,0.631373313,-1.014358634,-0.494693261,-0.989142772,-1.109606897,1.374236723,-0.584552069,0.833998393,1.283997347
Foggy,1,-0.365996175,0.893610647,-1.044281504,-0.268150824,-1.109466738,-1.127694074,1.374236723,-0.584552069,0.833998393,1.412125691
Overcast,1,0.424711559,-0.504988469,2.222751885,-0.286274219,1.094361694,-1.604743344,1.374236723,-0.584552069,0.948228277,-1.406697864
Overcast,1,-0.294761244,0.543960868,0.859901154,-0.358767799,0.347086536,-1.161607529,1.374236723,-0.584552069,0.948228277,-1.278569521
Overcast,1,-0.152291382,0.0194862,0.315848966,-0.358767799,0.347086536,-1.150303044,1.374236723,-0.584552069,0.948228277,-1.150441177
Overcast,1,-0.083193499,-0.067926245,0.794614891,-0.286274219,0.42308062,-1.170651117,1.374236723,-0.584552069,0.948228277,-1.022312834
Overcast,1,0.061413411,0.0194862,1.131927248,-0.177533849,0.347086536,-1.206825469,1.374236723,-0.584552069,0.948228277,-0.89418449
Overcast,1,0.07209865,0.0194862,0.177115658,-0.041608387,0.562403107,-1.103954655,1.374236723,-0.584552069,0.948228277,-0.637927804
Clear,1,0.488822997,-0.504988469,1.94800553,-0.358767799,-1.616093964,-1.534655537,1.374236723,-0.584552069,0.948228277,1.412125691
Overcast,1,0.77376272,-0.242751135,2.764083812,1.000486821,-0.032883883,-2.303360523,1.374236723,-0.584552069,1.062458162,1.02774066
Overcast,1,0.132648342,0.0194862,1.94800553,1.362954719,0.347086536,-1.805963179,1.374236723,-0.584552069,1.062458162,1.412125691
Overcast,1,-0.508466037,-0.330163579,-0.77225541,-0.358767799,0.347086536,-0.370293573,1.374236723,-0.584552069,1.176688047,1.02774066
Overcast,1,-0.437231106,-0.330163579,0.315848966,-0.449384773,1.550326197,-0.404207028,1.374236723,-0.584552069,1.176688047,1.155869004
Overcast,1,-0.372407319,-0.504988469,0.256003225,-0.684988907,1.363507408,-0.503686497,1.374236723,-0.584552069,1.176688047,1.283997347
Overcast,1,-0.365996175,-1.116875582,-1.044281504,-0.902469646,1.550326197,-0.607687759,1.374236723,-0.584552069,1.176688047,1.412125691
Overcast,1,-0.437231106,-0.592400914,-0.500229316,-0.902469646,1.550326197,-0.69812364,1.374236723,-0.584552069,1.176688047,1.540254034
Overcast,1,-0.365996175,-1.116875582,0.859901154,-1.083703596,1.550326197,-0.901604372,1.374236723,-0.584552069,1.290917932,-1.278569521
Overcast,1,-0.365996175,-1.379112916,0.859901154,-0.993086621,1.550326197,-1.014649223,1.374236723,-0.584552069,1.290917932,-1.150441177
Overcast,1,-0.365996175,-1.116875582,0.353932619,-1.156197175,1.363507408,-1.082476133,1.374236723,-0.584552069,1.290917932,-1.022312834
Overcast,1,-0.365996175,-1.379112916,1.131927248,-1.17432057,0.347086536,-1.150303044,1.374236723,-0.584552069,1.290917932,-0.89418449
Overcast,1,-0.365996175,-1.379112916,0.58787506,-0.993086621,0.600400149,-1.229434439,1.374236723,-0.584552069,1.290917932,-0.766056147
Overcast,1,-0.502054893,-0.242751135,0.005739219,-0.866222857,0.562403107,-1.201173227,1.374236723,-0.584552069,1.290917932,-0.637927804
Overcast,1,-0.579700968,0.543960868,-0.77225541,1.362954719,-0.412854303,-1.206825469,1.374236723,-0.584552069,1.290917932,-0.50979946
Overcast,1,-0.508466037,-0.330163579,0.315848966,1.453571694,-0.412854303,-1.240738925,1.374236723,-0.584552069,1.290917932,-0.381671117
Overcast,1,-0.510603085,-0.15533869,1.082962551,1.544188669,-0.476182706,-1.247521616,1.374236723,-0.584552069,1.290917932,-0.253542773
Overcast,1,-0.508466037,0.281723534,0.315848966,-1.627405443,-0.412854303,-1.308565835,1.374236723,-0.584552069,1.290917932,-0.12541443
Overcast,1,-0.508466037,0.281723534,1.403953342,1.544188669,-0.032883883,-1.387697231,1.374236723,-0.584552069,1.290917932,0.002713913
Overcast,1,-0.492794352,0.281723534,1.085682812,1.535126971,0.0272781,-1.414827995,1.374236723,-0.584552069,1.290917932,0.130842257
Overcast,1,-0.508466037,0.281723534,1.403953342,1.453571694,-0.412854303,-1.410306201,1.374236723,-0.584552069,1.290917932,0.2589706
Overcast,1,-0.508466037,0.281723534,0.859901154,1.544188669,-0.412854303,-1.387697231,1.374236723,-0.584552069,1.290917932,0.387098943
Overcast,1,-0.497068448,0.281723534,-0.059547044,1.453571694,-0.36852442,-1.334566151,1.374236723,-0.584552069,1.290917932,0.515227287
Overcast,1,-0.508466037,0.281723534,-0.228203222,1.453571694,0.600400149,-1.353783775,1.374236723,-0.584552069,1.290917932,0.64335563
Overcast,1,-0.508466037,0.281723534,0.043822872,1.272337745,0.600400149,-1.353783775,1.374236723,-0.584552069,1.290917932,0.771483974
Overcast,1,-0.568303379,0.456548423,-0.347894704,0.792067779,0.274258872,-1.360566466,1.374236723,-0.584552069,1.290917932,0.899612317
Overcast,1,-0.579700968,-0.067926245,0.043822872,0.909869846,0.347086536,-1.34247929,1.374236723,-0.584552069,1.290917932,1.02774066
Overcast,1,-0.579700968,0.281723534,0.315848966,0.909869846,0.347086536,-1.353783775,1.374236723,-0.584552069,1.290917932,1.155869004
Overcast,1,-0.508466037,-0.15533869,0.261443747,0.737697594,0.274258872,-1.272391483,1.374236723,-0.584552069,1.290917932,1.283997347
Foggy,0,-1.149580416,0.893610647,-1.044281504,0.819252872,-1.109466738,-0.72073261,1.374236723,-0.584552069,1.519377701,-0.50979946
Foggy,1,-0.094591088,0.806198202,0.533469841,1.272337745,-1.283619847,-0.648383906,1.374236723,-0.584552069,-1.450599302,-1.406697864
Clear,1,-0.437231106,0.543960868,-1.044281504,1.18172077,-1.616093964,-0.245944237,1.374236723,-0.584552069,-1.450599302,-1.278569521
Clear,1,-0.437231106,0.543960868,0.315848966,1.272337745,-1.616093964,-0.279857692,1.374236723,-0.584552069,-1.450599302,-1.150441177
Foggy,1,-0.365996175,0.543960868,0.043822872,1.544188669,-1.014474133,-0.302466662,1.374236723,-0.584552069,-1.450599302,-0.89418449
Overcast,1,-0.365996175,0.543960868,-0.228203222,1.544188669,-0.919481529,-0.302466662,1.374236723,-0.584552069,-1.450599302,-0.766056147
Overcast,1,-0.357447983,0.631373313,0.288646356,1.272337745,-0.875151646,-0.304727559,1.374236723,-0.584552069,-1.450599302,-0.637927804
Foggy,1,-0.223526313,0.631373313,0.043822872,1.18172077,-1.014474133,-0.336380117,1.374236723,-0.584552069,-1.450599302,-0.50979946
Overcast,1,-0.223526313,0.631373313,0.043822872,1.453571694,-0.634503714,-0.325075632,1.374236723,-0.584552069,-1.450599302,-0.381671117
Overcast,1,-0.098865184,0.631373313,-0.293489485,1.607620551,-0.729496319,-0.317162493,1.374236723,-0.584552069,-1.450599302,-0.253542773
Overcast,1,0.061413411,0.0194862,-0.77225541,-1.627405443,-0.412854303,-0.358989088,1.374236723,-0.584552069,-1.450599302,-0.12541443
Overcast,1,0.045741726,0.194311089,-0.30709079,1.408263207,-0.232368354,-0.461859902,1.374236723,-0.584552069,-1.450599302,0.130842257
Overcast,1,0.061413411,0.0194862,-0.228203222,1.362954719,-0.412854303,-0.517251879,1.374236723,-0.584552069,-1.450599302,0.387098943
